,coefficient
w2a2006.1,0.004048255
w2ba31.3,0.004015492
w2ba2604.1,0.00401233
w2a2102a,0.00400046
w2a2104b.2,0.003967414
w2a0801,0.003954666
w2ba24.2,0.003940434
w2a2103a.1,0.003921968
w2a2003.2,0.003920408
w2ba1503,0.003913154
w2be18.2,0.003898597
w2b20.2,0.003897232
w2a2103a.2,0.003895038
w2a2101a.2,0.003883999
w2bb15,0.003874936
w2b21.3,0.003869524
w2ba1705.1,0.003858246
w2a22.2,0.003854961
w2ba1706.1,0.003820597
w2ba2603.1,0.003812138
w2ba1703.2,0.003809596
w2ba1704.2,0.003805731
w2ba2601.1,0.003789812
w2a2101a.1,0.003784803
w2b19.1,0.003784421
w2a2102b.2,0.003781219
w2ba2603.2,0.00376254
w2be17.1,0.003756755
w2a32.2,0.003755374
w2a2101b.1,0.003745942
w2a2103b.2,0.003742755
w2be18,0.003724623
w2a2005.1,0.003721456
w2ba1706.2,0.003695557
w2be23.2,0.003665723
w2ba1702.1,0.003655956
w2be23.4,0.003638326
w2a2004,0.003635339
w2be08.2,0.003620691
w2ba1702.2,0.003618461
w2a2002.2,0.003594639
w2ba13,0.003569241
w2be09,0.003567461
w2a2104a,0.003540841
w2a2003,0.003531531
w2a2001.1,0.003514414
w2ba12.1,0.003485268
w2a17,0.003464152
w2ba2604.2,0.003463866
w2a28.1,0.003451917
w2ba29.1,0.003446896
w2a2001.2,0.003405443
w2a22,0.003399543
w2a2005.2,0.003391034
w2be23.1,0.003374416
w2a2001,0.003364275
w2a01,0.003361565
w2ba1400,0.00335931
w2ba13.1,0.003352153
w2ba2602.1,0.003336237
w2a16,0.003320759
w2be09.1,0.003290938
w2ba1505,0.003288728
w2a2006.2,0.003269224
w2b20.3,0.003244737
w2ba1703,0.003225453
w2ba2602.2,0.003213381
w2ba1705.2,0.003208613
w2be13,0.003203131
w2ba1705,0.003192856
w2b18,0.003149514
w2a2104a.2,0.003140843
w2ba24.1,0.003022662
w2a2104b,0.003020497
w2bb20.1,0.002992937
w2a2102b,0.002988522
w2ba13.2,0.002972562
w2a2101b,0.002929307
w2be08.1,0.002907038
w2ba1701.1,0.002904305
w2be23.3,0.002892614
w2ba1701.2,0.002888735
w2ba2604,0.002848007
w2ba1704,0.002838583
w2a03,0.002803194
w2ba31.2,0.002766787
w2be04.1,0.002756489
w2ba2602,0.002742025
w2a23.2,0.002725703
w2a2103a,0.002698649
w2b18.1,0.002669596
w2bd02,0.002661941
w2a23.1,0.002616453
w2be07.1,0.002611904
w2ba29,0.00260234
w2ba12,0.002581951
w2ba24,0.002554532
w2be04,0.002524771
w2a2101a,0.002517097
w2bb16.2,0.002428649
w2ba18.2,0.002395256
w2bd02.2,0.002379207
w2be13.2,0.002362692
w2bb19.2,0.002319113
w2be13.1,0.00230168
w2bb17.2,0.002266775
w2a2103b,0.002265344
w2a2002,0.002256004
w2bd02.1,0.002226675
w2b18.3,0.002208068
w2ba11.1,0.002201055
w2be12,0.002189943
w2ba1706,0.002160083
w2be06,0.002156037
w2ba2603,0.002125053
w2be04.2,0.002071542
w2be03,0.002043315
w2be06.1,0.002038227
w2bb18,0.002013623
w2be15,0.002004254
w2ba2601,0.001983344
w2bb19.1,0.001969173
w2ba11,0.001945892
w2be03.1,0.001861254
w2be12.1,0.001834557
w2ba18.4,0.001831157
w2be15.1,0.001830548
w2be07.2,0.001796955
w2bd01,0.001796934
w2ba1702,0.001779177
w2bd01.1,0.001776061
w2bb17,0.001751532
w2be17.2,0.001740398
w2bb18.2,0.001727137
w2bb19,0.001618338
w2be07,0.001614558
w2bb16,0.001593787
w2bb20,0.001582956
w2be16.2,0.001553394
w2ba1405,0.001503819
w2be16,0.001464562
w2a2005,0.001446146
w2bb18.1,0.001438057
w2a28.3,0.001400921
w2ba18.5,0.001383817
w2bb16.1,0.001343434
w2be23,0.001332283
w2ba32,0.001325833
w2bb17.1,0.001248916
w2be13.3,0.00115755
w2a23,0.001124379
w2bb19.3,0.001121233
w2ba1504,0.001119356
w2be16.1,0.001056442
w2bb20.3,0.000988886
w2bb20.2,0.000944324
w2ba12.2,0.000812879
w2a32,0.000270151
w2bd02.3,4.49E-05
w2be04.3,4.14E-05
